text,intent
hi,greeting
hi there,greeting
hola,greeting
hello,greeting
hello there,greeting
hya,greeting
hya there,greeting
hello human please tell me your genisys user,greeting
my user is adam,greeting_response
this is adam,greeting_response
i am adam,greeting_response
it is adam,greeting_response
my user is bella,greeting_response
this is bella,greeting_response
i am bella,greeting_response
it is bella,greeting_response
hi human how can i help,greeting_response
hello human what can i do for you,greeting_response
hola human how can i help you,greeting_response
how are you,courtesy_greeting
hi how are you,courtesy_greeting
hello how are you,courtesy_greeting
hola how are you,courtesy_greeting
hope you are doing well,courtesy_greeting
hello i am great how are you,courtesy_greeting_response
hi i am great how are you,courtesy_greeting_response
hello i am good thank you how are you,courtesy_greeting_response
what is my name,current_human_query
what do you call me,current_human_query
who do you think i am,current_human_query
who are you talking to,current_human_query
tell me my name,current_human_query
what is your name,name_query
what could i call you,name_query
what can i call you,name_query
what do your friends call you,name_query
who are you,name_query
tell me your name,name_query
what is your real name,real_name_query
what is your real name please,real_name_query
what s your real name,real_name_query
tell me your real name,real_name_query
what is the time,time_query
what s the time,time_query
do you know what time it is,time_query
can you tell me the time,time_query
tell me what time it is,time_query
ok thank you,thanks
ok thanks,thanks
that s helpful,thanks
i am not talking to you,not_talking_to_you
i was not talking to you,not_talking_to_you
not talking to you,not_talking_to_you
wasn t for you,not_talking_to_you
wasn t meant for you,not_talking_to_you
do you understand what i am saying,understand_query
do you understand me,understand_query
do you know what i am saying,understand_query
do you get me,understand_query
comprendo,understand_query
know what i mean,understand_query
be quiet,shutup
shut up,shutup
stop talking,shutup
enough talking,shutup
please be quiet,shutup
quiet,shutup
shhh,shutup
fuck off,swearing
fuck,swearing
twat,swearing
shit,swearing
bye,goodbye
adios,goodbye
see you later,goodbye
goodbye,goodbye
thanks bye,courtesy_goodbye
thanks for the help,courtesy_goodbye
goodbye,courtesy_goodbye
thank you bye,courtesy_goodbye
thank you goodbye,courtesy_goodbye
thanks good bye,courtesy_goodbye
can you see me,whoami
do you see me,whoami
can you see anyone in the camera,whoami
identify me,whoami
who am i please,whoami
you are very clever,clever
you are a very clever girl,clever
you are very intelligent,clever
you are a very intelligent girl,clever
you are a genius,clever
clever girl,clever
genius,clever
i am bored,gossip
gossip with me,gossip
got any gossip,gossip
i want to hear some gossip,gossip
tell me some gossip,gossip
any gossip,gossip
tell me some more gossip,gossip
tell me a joke,jokes
do you know any jokes,jokes
how about a joke,jokes
give me a joke,jokes
make me laugh,jokes
i need cheering up,jokes
open the pod bay door,podbaydoor
can you open the pod bay door,podbaydoor
will you open the pod bay door,podbaydoor
open the pod bay door please,podbaydoor
can you open the pod bay door please,podbaydoor
will you open the pod bay door please,podbaydoor
